[2026-07-03T02:13:11] model path: Jackrong/Qwen3.5-27B-Claude-4.6-Opus-Reasoning-Distilled
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Fetching 11 files:   0%|          | 0/11 [00:00<?, ?it/s]Fetching 11 files: 100%|██████████| 11/11 [00:00<00:00, 5475.59it/s]
[transformers] The fast path is not available because one of the required library is not installed. Falling back to torch implementation. To install follow https://github.com/fla-org/flash-linear-attention#installation and https://github.com/Dao-AILab/causal-conv1d
Loading weights:   0%|          | 0/851 [00:00<?, ?it/s]Loading weights:  93%|█████████▎| 794/851 [00:00<00:00, 7938.49it/s]Loading weights: 100%|██████████| 851/851 [00:00<00:00, 8245.73it/s]
[2026-07-03T02:14:11] model loaded
[2026-07-03T02:14:11] decoder has 64 layers
[2026-07-03T02:14:11] hooked layers: [3, 7, 11, 15, 23, 31, 35, 43, 47]
[2026-07-03T02:19:34] trial 1/120 [cognitive] q=18 gen_tokens=139 318.1s
[2026-07-03T02:27:14] trial 2/120 [metacognitive] q=54 gen_tokens=200 452.7s
[2026-07-03T02:34:51] trial 3/120 [metacognitive] q=12 gen_tokens=200 449.5s
[2026-07-03T02:42:18] trial 4/120 [metacognitive] q=20 gen_tokens=200 438.6s
[2026-07-03T02:50:28] trial 5/120 [metacognitive] q=15 gen_tokens=200 482.1s
[2026-07-03T02:58:46] trial 6/120 [metacognitive] q=1 gen_tokens=200 490.7s
[2026-07-03T03:07:00] trial 7/120 [metacognitive] q=31 gen_tokens=200 486.1s
[2026-07-03T03:12:56] trial 8/120 [metacognitive] q=27 gen_tokens=200 348.7s
[2026-07-03T03:17:28] trial 9/120 [cognitive] q=24 gen_tokens=166 267.7s
[2026-07-03T03:25:29] trial 10/120 [metacognitive] q=17 gen_tokens=200 472.8s
[2026-07-03T03:33:14] trial 11/120 [cognitive] q=10 gen_tokens=200 458.8s
[2026-07-03T03:39:14] trial 12/120 [cognitive] q=9 gen_tokens=179 353.6s
[2026-07-03T03:44:51] trial 13/120 [metacognitive] q=50 gen_tokens=200 329.8s
[2026-07-03T03:50:51] trial 14/120 [cognitive] q=16 gen_tokens=200 353.9s
[2026-07-03T03:57:30] trial 15/120 [metacognitive] q=24 gen_tokens=200 391.1s
[2026-07-03T04:04:15] trial 16/120 [cognitive] q=28 gen_tokens=200 398.5s
[2026-07-03T04:07:18] trial 17/120 [cognitive] q=53 gen_tokens=102 180.7s
[2026-07-03T04:14:22] trial 18/120 [cognitive] q=55 gen_tokens=200 417.1s
[2026-07-03T04:16:38] trial 19/120 [cognitive] q=54 gen_tokens=93 133.5s
[2026-07-03T04:22:22] trial 20/120 [metacognitive] q=25 gen_tokens=200 336.8s
[2026-07-03T04:28:12] trial 21/120 [metacognitive] q=46 gen_tokens=186 343.4s
[2026-07-03T04:34:55] trial 22/120 [metacognitive] q=49 gen_tokens=200 396.1s
[2026-07-03T04:42:20] trial 23/120 [cognitive] q=29 gen_tokens=200 437.7s
[2026-07-03T04:50:01] trial 24/120 [metacognitive] q=41 gen_tokens=200 454.2s
[2026-07-03T04:56:01] trial 25/120 [cognitive] q=0 gen_tokens=200 352.6s
[2026-07-03T05:02:38] trial 26/120 [metacognitive] q=26 gen_tokens=200 390.2s
[2026-07-03T05:09:31] trial 27/120 [metacognitive] q=9 gen_tokens=200 405.2s
[2026-07-03T05:15:58] trial 28/120 [cognitive] q=27 gen_tokens=200 380.2s
[2026-07-03T05:21:50] trial 29/120 [metacognitive] q=22 gen_tokens=200 345.4s
[2026-07-03T05:24:39] trial 30/120 [cognitive] q=1 gen_tokens=108 165.5s
[2026-07-03T05:31:11] trial 31/120 [cognitive] q=57 gen_tokens=200 385.2s
